status,priority,created,owner,local_id,verdict,title
BACKLOG,P0,2026-07-22,,vision-backend-parity,NO-VERIFY,VISION: DBI + KVM backends at full ptrace parity with benchmarks
BACKLOG,P3,2026-07-22,,vision-nightly-stress-testing,NO-VERIFY,VISION: Nightly stress tests — random seeds + super-validate + bug auto-filing
BACKLOG,P3,2026-07-22,,vng_under_hermit_hits,NO-VERIFY,vng under Hermit hits unsupported clone(CLONE_VFORK) and stalls
BACKLOG,P3,2026-07-22,,vng_cannot_discover_the,NO-VERIFY,vng cannot discover the host kernel because Hermit virtualizes uname -r
BACKLOG,P0,2026-07-25,hermit-dbi,impl-dbi-global-state-fix,NO-VERIFY,P0: DBI — fix fundamentally broken global state architecture for multi-process
BACKLOG,P0,2026-07-25,hermit-168,impl-dbi-cross-process-rpc,NO-VERIFY,P0: DBI — implement cross-process RPC for GlobalState
BACKLOG,P1,2026-07-26,,p1_retest_qemu_snapshot,NO-VERIFY,P1: Retest QEMU snapshot resume under strict after the seccomp fix
BACKLOG,P1,2026-07-26,,p1_add_a_durable,NO-VERIFY,P1: Add a durable strict-L2 Linux userspace workload fixture
BACKLOG,P1,2026-07-26,,p1_land_reproducible_strict,NO-VERIFY,P1: Land reproducible strict-L2 sched_ext QEMU coverage
BACKLOG,P1,2026-07-26,,p1_resume_qemu_linux,NO-VERIFY,P1: Resume QEMU Linux R/R at zero-read and mprotect divergences
BACKLOG,P1,2026-07-26,,p1_correct_pmu_overshoot,NO-VERIFY,P1: Correct PMU overshoot telemetry and map QEMU chaos timeslices
BACKLOG,P2,2026-07-27,,fix-litfloor-nonmonotonic,NO-VERIFY,[review-fix] fix-litfloor-nonmonotonic
BACKLOG,P2,2026-07-27,,fix-litfloor-matrix-dupcount,NO-VERIFY,[review-fix] fix-litfloor-matrix-dupcount
BACKLOG,P2,2026-07-27,,fix-951-todo-breadcrumbs,NO-VERIFY,[review-fix] fix-951-todo-breadcrumbs
