workload,backend,variant,reps,min_wall_s,per_call_us,notes
bin_true,native,-,3,0.00,,below 10ms time resolution
bin_true,ptrace,-,3,0.01,,fixed attach/teardown
bin_true,dbi,-,3,0.05,,~40ms DynamoRIO warmup tax
getpid_1e5,native,-,3,0.00,,below 10ms time resolution (100k raw getpid is sub-ms)
getpid_1e5,ptrace,-,3,3.30,33.0,ptrace stop-per-syscall dominates
getpid_1e5,dbi,-,3,0.20,2.0,in-process interception; ~16.5x faster than ptrace
branch_heavy_2e6,native,-,5,0.48,,277M collatz steps ~745M counted branches ~37 syscalls
branch_heavy_2e6,ptrace,-,5,0.49,,syscall-free workload runs at native speed (ptrace only traps syscalls)
branch_heavy_2e6,dbi,baseline_locked_counter,5,5.35,,~11x slower than ptrace; DynamoRIO per-branch code-cache dispatch dominates
branch_heavy_2e6,dbi,patched_unlocked_counter,5,5.36,,DRX_COUNTER_LOCK removed; NO speedup (within noise) — lock is free on single-writer L1 line
branch_heavy_2e6,dbi,nocount_diagnostic_no_update,5,5.37,,counter update removed ENTIRELY; STILL no speedup — proves counter is not the cost
