cell_class,green_cells,backend,tier,control_divergent,control_compared_lines,planted_defects_caught,planted_defects_total,tier_sound,certified,verdict_reason
ptrace-green,72,ptrace,T-guest,0,2,2,5,yes,no,"producer probe; guest-visible only; 3 of 5 planted defects survive"
ptrace-green,72,ptrace,T-INFO,0,108,5,5,yes,attainable,"sound control and full defect sensitivity; not the tier the producer runs"
ptrace-green,72,ptrace,T-INFO-DETLOG,0,79,5,5,yes,attainable,"tightest sufficient tier"
ptrace-green,72,ptrace,T-HEAP,0,81,5,5,yes,attainable,"--detlog-heap clean on ptrace"
ptrace-green,72,ptrace,T-STACK,0,115,5,5,yes,attainable,"--detlog-stack clean on ptrace"
ptrace-green,72,ptrace,T-DEBUG,17,314,5,5,no,no,"= --verify-strict; control fails on 3 classes of hermit instrumentation + uninitialised rbx"
liteinst-green,136,liteinst,T-guest,0,2,2,5,yes,no,"producer probe; guest-visible only"
liteinst-green,136,liteinst,T-INFO,0,911,5,5,yes,attainable,"sound control and full defect sensitivity"
liteinst-green,136,liteinst,T-INFO-DETLOG,0,821,5,5,yes,attainable,"tightest sufficient tier on liteinst"
liteinst-green,136,liteinst,T-HEAP,315,1175,5,5,no,no,"heap CONTENT hash nondeterministic run-to-run at identical address range"
liteinst-green,136,liteinst,T-STACK,297,1228,5,5,no,no,"stack hash nondeterministic run-to-run"
liteinst-green,136,liteinst,T-DEBUG,12,1569,5,5,no,no,"control fails on hermit instrumentation"
dbi-green,8,dbi,T-guest,0,2,2,5,yes,no,"producer probe; guest-visible only"
dbi-green,8,dbi,T-INFO-DETLOG-raw,74,78,5,5,no,no,"dtid is the raw host PID; 74 of 78 DETLOG lines differ every run"
dbi-green,8,dbi,T-INFO-DETLOG-dtidcanon,0,78,5,5,yes,blocked,"clean ONLY after canonicalising dtid; no shipped comparator does this"
dbi-green,8,dbi,T-HEAP-dtidcanon,0,78,5,5,yes,blocked,"clean after dtid canonicalisation"
dbi-green,8,dbi,T-STACK-dtidcanon,36,114,5,5,no,no,"stack hash nondeterministic under DBI even after dtid canonicalisation"
kvm-green,130,kvm,ALL,NA,NA,NA,5,unknown,not-measurable,"trivial control did not complete in 120s nor in 600s on devbig014; 2 attempts, 1 guest"
