sha	bucket	method	evidence	subject
6da14260c1a64b66c2ba495da6f91c09265234b4	a-already-on-main	patch-id	equivalent patch on main at 9f2319523	ci-hub: wire ledger accessors into the front door (qualified-rows + attribute-reds)
57ebc29577715162e815bdfc0b0b7bcb44d5e757	a-already-on-main	patch-id	equivalent patch on main at e53da9770	ai_docs: scoped clean-rebuild-after-failure deliverable (zero-byte pre-flight scan + coverage map)
568d61949da568bc9812b3ecfdfb5e25fa67028d	c-superseded	tree-diff	touches no files	Ryan: add application description to  project vision
491667ab0fbbcabdbce5b58e66747f23fa9d3915	a-already-on-main-evolved	file-content	1/3 paths byte-identical; the rest PRESENT on main with newer content	ci-hub queue-health: classify fetch failures + bound gh calls for auto-invocation
799e45c4454b1b13fd7a5bd81d9db8b2abda9b6f	c-superseded	tree-diff	touches no files	experiments: coordinator-RPC codegen-sensitivity, build-profile firm-axis, green-inheritance 1-hop artifacts
7f9f7608bfff462342992ae8691468502d6a178e	a-already-on-main	file-content	all 1/1 touched paths byte-identical on main	experiment(liteinst-instrumentation-stats): add README reconciling instrumentation vs timing
f9a043bde35e596f48a7a2c361f3996400925f4e	c-superseded	tree-diff	touches no files	Ryan: add application description to  project vision
38a1b3bcf03499f9e8a22dbc15bfc42c6fe80bc9	b-genuinely-missing	added-path-absent	ADDS 1 file(s) absent from main: demos/07-qemu-strict-l2.sh	demos: package deterministic QEMU Linux L2 boot
91a1a450be03c67b9437d67ba773d851b21ee44d	a-already-on-main-evolved	file-presence	1 of 1 paths PRESENT on main with different content; 0 absent	agent-utils: bump pin to 81614e6 (setup -h/--help relative-path fix)
70a246e4837936fad0e18cd284b34bbb7cbd3cf9	a-already-on-main-evolved	file-presence	1 of 1 paths PRESENT on main with different content; 0 absent	demos: no-trailer (override local)
b0239f568ddcfe9c3e2eb51b6b8a1f59aa723849	b-genuinely-missing	added-path-absent	ADDS 1 file(s) absent from main: ai_docs/flaky-failure-attribution-procedure_20260803.md	ci-hub/attribution: flaky-failure cause attribution capability
7028f6999c4e330424b264e3e6b7bdaae3231e3e	b-genuinely-missing	added-path-absent	ADDS 1 file(s) absent from main: ai_docs/reverie-portable-vs-privileged-split-audit_20260803.md	ai_docs: reverie portable-vs-privileged test split audit (empirical)
0f2a122d6db10e5cad026cd8c44fc994d43edaa6	b-genuinely-missing	added-path-absent	ADDS 1 file(s) absent from main: ai_docs/ci-hub-local-ci-history-store-handoff_20260803.md	ai_docs: handoff for ci-hub local CI-history store
832c89153042d9bb9b8f9a1b92d31ee4b0393eba	b-genuinely-missing	added-path-absent	ADDS 1 file(s) absent from main: demos/lib/test_demo_common.py	demos: fail when snapshot verification diverges
2bb0e74f1e5cb9f8bab368f66d5caa9f82fbabd6	a-already-on-main-evolved	file-presence	1 of 2 paths PRESENT on main with different content; 1 absent	demos: keep QEMU L2 inputs visible from tmp checkouts
ed30c23b68e767ece74011d2f6e2fb847bc4d3b4	a-already-on-main-evolved	file-presence	1 of 2 paths PRESENT on main with different content; 1 absent	demos: keep QEMU L2 inputs visible from tmp checkouts
fd30b4299e793eccc69efb40a348860ada7b82ef	a-already-on-main-evolved	file-content	2/14 paths byte-identical; the rest PRESENT on main with newer content	ci-hub: make landing recovery process-independent
4cb2aa2d88bc0496d57985f217577976b4213450	b-genuinely-missing	added-path-absent	ADDS 1 file(s) absent from main: demos/lib/test_demo_common.py	demos: fail when snapshot verification diverges
a9335446521eff4aa9981c84c3698099135f3ad2	a-already-on-main-evolved	file-presence	1 of 1 paths PRESENT on main with different content; 0 absent	Document speculative-land remediation architecture
dc35c5d5c236bc3bbbb64ad8888c6499e268026d	a-already-on-main-evolved	file-content	11/13 paths byte-identical; the rest PRESENT on main with newer content	Add ASPLOS'20 DRB reproducibility experiment + work-ahead results
bcb80b4771d732cf9c37422ba56df17f6b73258e	a-already-on-main-evolved	file-presence	6 of 6 paths PRESENT on main with different content; 0 absent	Derive owner directives from TaskGraph
32bc690703aae204222f68889811b22c3b83fc49	a-already-on-main-evolved	file-presence	4 of 4 paths PRESENT on main with different content; 0 absent	ci-hub: add local CI-history store (ingest + query)
71bd66a94afff8a474ed612ed74ac2172de3a1f6	a-already-on-main-evolved	file-content	1/11 paths byte-identical; the rest PRESENT on main with newer content	ci-hub: execute documented commands in CI
6f3e4e6d2df8b7a80d367b97f8c78195ef2a3a35	c-superseded	parent-count	merge commit, carries no distinct content	Merge hermit-251 newest-green floor-from-registry into origin/main
a53f6fe311ac8ef8f399152915a48193ce603def	b-genuinely-missing	added-path-absent	ADDS 1 file(s) absent from main: ai_docs/ci-hub-local-ci-history-store-handoff_20260803.md	ai_docs: handoff for ci-hub local CI-history store
09c0b7142a201d5bf41b1097b0983304803f24a8	a-already-on-main-evolved	file-content	11/13 paths byte-identical; the rest PRESENT on main with newer content	Add Hermit research and experiment results
51c2ec082324df68b0298c80c8d16bd09ddd61d1	c-superseded	tree-diff	touches no files	Human edits to alignment and project vision
69c8d877aed4d095bb00e05d33ec44814729abcd	b-genuinely-missing	added-path-absent	ADDS 1 file(s) absent from main: demos/07-qemu-strict-l2.sh	demos: package deterministic QEMU Linux L2 boot
99cac6ec90512318c552386e288047b1961d9aa6	b-genuinely-missing	added-path-absent	ADDS 1 file(s) absent from main: ai_docs/reverie-single-runner-spof-analysis-and-mitigations_20260803.md	ai_docs: reverie single-runner SPOF analysis + mitigations
cdcee6b699b5aaf4dd8e5fc0f7a32191e73ef0e2	b-genuinely-missing	file-presence	all 1 touched paths ABSENT from main	fixup! demos: fail when snapshot verification diverges
f04ee23bc7aa03b95f8bc58795ffc64846cca55f	b-genuinely-missing	added-path-absent	ADDS 1 file(s) absent from main: debug/demo5-regression/BIGREPORT.txt	override test
1b4f8da393579118952bd1628f4daf4c7755d40d	b-genuinely-missing	file-presence	all 2 touched paths ABSENT from main	pr_status: reframe human-review bucket as land-with-post-facto-review
3456f51389dacdc69a1b9cdf8f0729b109e1167a	a-already-on-main-evolved	file-content	1/3 paths byte-identical; the rest PRESENT on main with newer content	[impl agent, opus-4.8] ci-hub health: bound auto-invoked PR-health gate under tick-hub's 30s guillotine
645d7d821a4e6c32e787158263f57191ae15802a	c-superseded	tree-diff	touches no files	experiments: coordinator-RPC codegen-sensitivity, build-profile firm-axis, green-inheritance 1-hop artifacts
e55db2494810431f6a37da48ea7099357b1b71de	b-genuinely-missing	added-path-absent	ADDS 1 file(s) absent from main: ai_docs/unified-patching-backend-constructor-feasibility_20260803.md	ai_docs: feasibility verdict for unified patching-backend constructor
8b5fd8655ff7d3635681626d4868360f5e9fd70d	a-already-on-main-evolved	file-content	4/10 paths byte-identical; the rest PRESENT on main with newer content	scripts: make every harness entrypoint's -h/--help/--version a pure safe probe
f3e5440eb94bb47481af01bb9908043a1f3f3433	c-superseded	parent-count	merge commit, carries no distinct content	Merge remote-tracking branch 'origin/main' into impl-update-agents-md-slot04
e0e9b5f1c91254d8218a0f13f06063e63c896117	a-already-on-main-evolved	file-presence	1 of 1 paths PRESENT on main with different content; 0 absent	demos: tweak 05 (reviewed)
ed6fb9552d5696fbc4baaa7366e7b49ba18014bb	a-already-on-main-evolved	file-presence	3 of 3 paths PRESENT on main with different content; 0 absent	ci-hub/runners: add make stats-grade utilization, peak, and last-window CI stats
137028397cf2ee96723fcb0b2d943e7cf325303f	a-already-on-main-evolved	file-presence	1 of 1 paths PRESENT on main with different content; 0 absent	README: correct upstream framing; facebookexperimental is the release target
d7f0f6918557745b8d489eb946911358c205b6df	a-already-on-main	file-content	all 1/1 touched paths byte-identical on main	ai_docs: prove-it verifiable-repro walkthrough for today's coordinator claims
75f164ef5a5ed533f17ee43b10c4e4bb61e87a88	b-genuinely-missing	file-presence	all 1 touched paths ABSENT from main	ai_docs: reverie split audit addendum — userns EPERM is a sysctl, not privilege (probe 30842156411 = 88/0 after apparmor flip)
