measurement,target_or_case,method,runs,actions_executed_per_run,executor_mix,divergent_actions,verdict,notes
buck2-double-build-two-isolation-dirs,fbcode//common/rust/shed/hostcaps:hostcaps,two --isolation-dir (det-probe-A/B) + --local-only --no-remote-cache,2,not-measured,Local,1,FALSE-POSITIVE,"divergent output differed only by the isolation-dir substring embedded in buck-out paths; method unsound"
buck2-double-build-same-isolation-dir,fbcode//common/rust/shed/hostcaps:hostcaps,one --isolation-dir (det-same) + buck2 clean between runs + --local-only --no-remote-cache,2,337,Local=337 Cache=0 RE=0,0,REPRODUCIBLE,"buck2 log diff action-divergence: No divergent actions found; executed-action count verified nonzero so this is not a cache-hit artifact"
hermit-determinizes-tar,fbcode/hermetic_infra/reproducible_builds/determinism_test.sh --no-hermit,native double tar with mtime change between runs,2,n/a,native,n/a,NONDETERMINISTIC,"Determinism not achieved (script's expected baseline; buck_sh_test target determinism_fail)"
hermit-determinizes-tar,fbcode/hermetic_infra/reproducible_builds/determinism_test.sh <hermit>,same script under OSS hermit run --bind,2,n/a,hermit-ptrace,n/a,DETERMINIZED,"Determinism achieved; bitwise-identical tars despite changed mtime (buck_sh_test target determinism_pass)"
build-cost,fbcode//common/rust/shed/hostcaps:hostcaps,single buck2 build --local-only --no-remote-cache from cold isolation dir,1,337,Local,n/a,COST,"~52-59 s wall, ~1.1 GiB buck-out per isolation dir, maxrss ~316 MB"
fleet-telemetry-query,infrastructure.buck2_nondeterministic_actions_user ds=2026-08-05,presto query all repositories,n/a,n/a,n/a,85674,FLEET-BASELINE,"85674 flagged action rows across 41701 distinct targets; table is USER BUILDS ONLY (Sandcastle/CI filtered out)"
fleet-telemetry-topN,top 30 fbcode targets by flagged-action count ds=2026-08-05,presto group by target,n/a,n/a,n/a,79-542,FLEET-CANDIDATES,"category mix dominated by cuda_cxx_compile/cudafepp (GPU), hip_compile, genrule (ASIC firmware); one rustc; max 542 flagged actions on a single target"
local-ab-control-74,74 rust_library targets in one coherent package tree,one isolation dir + clean between rounds + ONE batched build per round + --local-only --no-remote-cache,2,5548,Local=5548 Cache=0 RE=0,0,REPRODUCIBLE,"0 divergent actions; control arm (targets NOT fleet-flagged); executed-action count verified nonzero"
local-ab-flagged,5 cheapest compile-only fleet-flagged fbcode targets,same batched method,1,n/a,n/a,n/a,NOT-MEASURED,"RETRACTED earlier BLOCKED/buildability verdict. Root cause was buck2 daemon OOM from seven concurrent isolation dirs left alive by this harness on a contended box -- not target buildability. Flagged arm is unmeasured, not negative."
inverted-join-intersection,"flagged set (ds=2026-08-05) INTERSECT the 74-target known-buildable control frame",presto query target LIKE the control frame prefix,n/a,n/a,n/a,0,EMPTY-INTERSECTION,"zero flagged targets in the control frame; independently corroborates the 0/5548 local control result -- the fleet never flagged that tree either"
flagged-buildable-probe,"6 flagged rustc-only fbcode targets outside GPU/ASIC/torch paths",single batched build --local-only --no-remote-cache --keep-going,1,n/a,Local,n/a,NOT-MEASURED,"BUILD FAILED with root cause: Buck2 daemon killed by OOM killer, too many daemons running simultaneously. Harness defect (7 concurrent isolation dirs), not a target property."
local-ab-flagged-retry,"8 fleet-flagged fbcode targets (rustc-only cluster in one Rust-port tree)",one isolation dir + clean between rounds + batched + --local-only --no-remote-cache -j 4 + daemon killed on exit,2,3287,Local=3287 Cache=0 RE=0,0,FLAGS-DID-NOT-REPRODUCE,"each target flagged on exactly one action (category=rustc identifier=link) at ds=2026-08-05; those link actions executed in both rounds; zero divergences. Same-host same-commit A/B minutes apart cannot reproduce cross-machine/cross-time nondeterminism by construction."
path-axis-discriminator,"cwd printed into output (path-embedded)",two build roots differing only in absolute path; native vs hermit run --tmp=/tmp --no-rcb-time,2,n/a,native+hermit,n/a,HERMIT-DOES-NOT-FIX,"native DIFFERS; under Hermit DIFFERS with the SAME two hashes as native -- Hermit passes the real cwd through unchanged"
path-axis-discriminator,"timestamp (date +%s%N)",same two-root design,2,n/a,native+hermit,n/a,HERMIT-FIXES,"native DIFFERS; under Hermit IDENTICAL"
path-axis-discriminator,"entropy (/dev/urandom)",same two-root design,2,n/a,native+hermit,n/a,HERMIT-FIXES,"native DIFFERS; under Hermit IDENTICAL"
path-axis-discriminator,"tar with changing mtime",same two-root design,2,n/a,native+hermit,n/a,HERMIT-FIXES,"native DIFFERS; under Hermit IDENTICAL; matches Sarah Clark's 2022 determinism_test.sh result"
