variant,mode,seed,result,rc,note
buggy,native,n/a,ok,0,"aggregate: 0 UAF crashes across 40 blind runs (bug dormant)"
fixed,native,n/a,ok,0,"aggregate: 0 crashes across 20 blind runs"
buggy,chaos,0,ok,0,"convert completed, no UAF"
buggy,chaos,1,ok,0,"convert completed, no UAF"
buggy,chaos,2,ok,0,"convert completed, no UAF"
buggy,chaos,3,ok,0,"convert completed, no UAF"
buggy,chaos,4,ok,0,"convert completed, no UAF"
buggy,chaos,5,timeout,124,"slow chaos schedule (>70s); hermit-chaos artifact, not the bug"
buggy,chaos,6,ok,0,"convert completed, no UAF"
buggy,chaos,7,ok,0,"convert completed, no UAF"
buggy,chaos,8,ok,0,"convert completed, no UAF"
buggy,chaos,9,ok,0,"convert completed, no UAF"
buggy,chaos,10,ok,0,"convert completed, no UAF"
buggy,chaos,11,ok,0,"convert completed, no UAF"
buggy,chaos,12,ok,0,"convert completed, no UAF"
buggy,chaos,13,ok,0,"convert completed, no UAF"
buggy,chaos,14,ok,0,"convert completed, no UAF"
buggy,chaos,15,crash,134,"ASAN heap-use-after-free, PC 0x52793b, task_period_wait task-utils.c:154"
buggy,chaos,16,ok,0,"convert completed, no UAF"
buggy,chaos,17,ok,0,"convert completed, no UAF"
buggy,chaos,18,ok,0,"convert completed, no UAF"
buggy,chaos,19,crash,134,"ASAN heap-use-after-free, PC 0x52793b, task_period_wait task-utils.c:154"
buggy,chaos,20,ok,0,"convert completed, no UAF"
buggy,chaos,21,ok,0,"convert completed, no UAF"
buggy,chaos,22,ok,0,"convert completed, no UAF"
buggy,chaos,23,ok,0,"convert completed, no UAF"
buggy,chaos,24,ok,0,"convert completed, no UAF"
buggy,chaos,25,ok,0,"convert completed, no UAF"
buggy,chaos,26,ok,0,"convert completed, no UAF"
buggy,chaos,27,ok,0,"convert completed, no UAF"
buggy,chaos,28,ok,0,"convert completed, no UAF"
buggy,chaos,29,ok,0,"convert completed, no UAF"
buggy,chaos,30,timeout,124,"slow chaos schedule (>70s); hermit-chaos artifact, not the bug"
buggy,chaos,31,ok,0,"convert completed, no UAF"
fixed,chaos,0,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,1,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,2,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,3,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,4,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,5,timeout,124,"slow chaos schedule (>70s); same artifact as buggy"
fixed,chaos,6,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,7,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,8,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,9,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,10,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,11,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,12,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,13,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,14,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,15,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,16,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,17,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,18,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,19,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,20,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,21,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,22,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,23,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,24,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,25,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,26,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,27,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,28,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,29,ok,0,"convert completed, no UAF (fix closes window)"
fixed,chaos,30,timeout,124,"slow chaos schedule (>70s); same artifact as buggy"
fixed,chaos,31,ok,0,"convert completed, no UAF (fix closes window)"
