# Disposition of closed rrnewton/hermit PRs that the coalesce guard could not
# classify from their close comment alone (the 45 REFUSE_UNKNOWN rows measured
# 2026-08-07). Hand-classified by reading the FULL comment thread, not the last
# comment -- last-comment-only is what produced the UNKNOWNs, because a later
# reply often sits on top of the closing rationale (see #1703).
#
# SUPERSEDED  the work survives at a named, identifiable place -> safe to fold.
# MERITS      an owner decided it must not land -> NEVER re-land.
# UNKNOWN     not determinable from the record -> stays refused, fail closed.
#
# UNKNOWN is a real answer here, not a gap to be filled by inference: a wrong
# SUPERSEDED is precisely what re-lands rejected work.
#
# pr	disposition	successor	reason
1703	MERITS		vacuous fixture: no discriminating positive control, e9patch candidate_sites=0, DBI/KVM not run. NOTE: a LATER comment refutes the basis (DBI run found a real divergence); the close still stands, so re-landing needs a fresh decision, not a fold
1667	MERITS		inert herdr-run write-path smoke probe, 'do not review', branch deleted; never a product change
1652	SUPERSEDED	d386c965f3b13bee9ae788066ae91ae1e6bc8807	coordinator correction names the exact landed main commit; supersession conclusion unchanged
1637	UNKNOWN		names #1668 as the alternative vehicle, but #1668 was itself closed on the merits ('unsafe aggregate without landing'), so no landed successor exists; not determinable
1634	MERITS		coordinator permanently discontinued the work lane; explicitly 'not a landing or completion claim'
1630	SUPERSEDED	#1644 f21b22ed / #1647 72e973f5	governing changes landed on main; branch preserved for archaeology, must not be layered over the landed mechanism
1628	SUPERSEDED	#1644 f21b22ed / #1647 72e973f5	governing changes landed on main; preserved for archaeology
1626	MERITS	#1644 f21b22ed (partial)	MIXED: NUMA sanitizer represented by #1644, but the /run/user/<uid> path-only suppression is REJECTED as an unsafe proxy binding and 'will not be carried'. Partially rejected => must never be folded wholesale
1625	SUPERSEDED	#1644 f21b22ed	stale Reverie-pin vehicle; the newer pin landed through #1644 and ancestry verifies the old target is an ancestor
1615	SUPERSEDED	#1644 f21b22ed / #1647 72e973f5	governing changes landed on main
1596	MERITS		xfail authority remains forgeable at exact head; negative fixture does not bracket the real bypass; explicitly excluded from #1644
1591	SUPERSEDED	#1644 f21b22ed / #1647 72e973f5	governing changes landed on main
1582	SUPERSEDED	#1585 4b7eddfb	fully carried by its exact Git descendant, which stacks on this fold
1577	MERITS		self-declared no-op CI-observation PR ('no-op, will close'); no comment, but the title is the record
1576	MERITS		obsolete branch; nested-lock/pin commit would DOWNGRADE current Reverie; retry code still classifies generic divergence as retryable; conflicts with current strict model
1573	MERITS		contains the exact #1570 cache commit which was rejected for returning success while executing zero tests; 'this head cannot be published'
1572	MERITS		abandoned implementation scrapes rendered runner status lines via ERE in a shell being deleted; requirement to be carried into the typed wrapper instead
1570	MERITS		returns success on a cache hit without executing a single gate; violates the nonzero-executed-count rule
1568	SUPERSEDED	#1644 f21b22ed / #1647 72e973f5	governing changes landed on main
1566	MERITS		classifies an environmental condition from rendered build-tool strings; PR itself says it is not a live-miss fix; extending the regex preserves the proxy mechanism
1561	MERITS		job-collapse topology predates the exact-head evidence contract (#1578) and required-context transition (#1579); 'no longer publishable'
1559	MERITS		fresh exact-head build crashes /bin/true under DBI with SIGSEGV exit 255; env hash ignores active SaBRe DETLOG forwarding
1551	SUPERSEDED	#1644 f21b22ed / #1647 72e973f5	governing changes landed on main
1550	MERITS	#1219 (partial)	0.2 floor + publish-metadata landed via #1219, but the remaining package-boundary/name choices are PENDING OWNER DECISIONS and must be rebuilt from current main, not folded
1547	SUPERSEDED	ci-hub/history/query.py node-cpu-budgets	the durable derivation authority moved to the dev-hermit tool which replaces this PR's in-repo script; explicitly a disposition closure, not a landing claim
1546	MERITS		coordinator permanently discontinued the work lane; 'the change was not accepted or landed'
1544	MERITS		promoted contracts admit false positives and one asserts the OPPOSITE of Linux (process-group identity can split); excluded from the aggregate
1543	SUPERSEDED	#1644 f21b22ed / #1647 72e973f5	governing changes landed on main
