id	kvm_exit	bucket	signature
backend-parity-c/pid-probe	0	A_DETPID_OWNED_by_fix-kvm-detpid-mismatch	 < pid=3 > pid=1
c-programs/dbi-pid-virtualization	124	A_DETPID_OWNED_by_fix-kvm-detpid-mismatch	 < root pid=3 ppid=1 tid=3 < grandchild pid=7 ppid=5 tid=7
c-programs/random-sources	0	A_DETPID_OWNED_by_fix-kvm-detpid-mismatch	 < thread-getrandom[0]=6e3e3c52835de672dd26c052b3afc0f1 > th
c-programs/socket-cookie-tcp	0	A_DETPID_OWNED_by_fix-kvm-detpid-mismatch	 < tcp=12884901893,12884901894 > tcp=4294967301,4294967302
c-programs/socket-cookie-udp	0	A_DETPID_OWNED_by_fix-kvm-detpid-mismatch	 < udp=12884901893,12884901894 > udp=4294967301,4294967302
c-programs/socket-cookie-unix	0	A_DETPID_OWNED_by_fix-kvm-detpid-mismatch	 < unix=12884901893,12884901894 > unix=4294967301,4294967302
c-programs/vforkexec	0	A_DETPID_OWNED_by_fix-kvm-detpid-mismatch	 < child pid: 5 < parent pid: 3
c-programs/wait-on-child	0	A_DETPID_OWNED_by_fix-kvm-detpid-mismatch	 < Child: My pid: 5 < Parent: My pid: 3
debugger-c/debuggee	0	A_DETPID_OWNED_by_fix-kvm-detpid-mismatch	 < pid=3 result=55 > pid=1 result=55
determinism-stress-c/pid-tid	5	A_DETPID_OWNED_by_fix-kvm-detpid-mismatch	 < root pid=3 ppid=1 tid=3 < thread[0] pid=3 tid=5
system-utils/record-getpid	0	A_DETPID_OWNED_by_fix-kvm-detpid-mismatch	 < My pid: 3 > My pid: 1
c-programs/dbi-wait-lifecycle	6	B_KVM_CHILDSYNC_reverie_blocked	 < wait4=7 waitid=9 sigchld=observed reaped=2 cpu=zero
c-programs/get-robust-list-child	1	B_KVM_CHILDSYNC_reverie_blocked	child readiness: Resource temporarily unavailable  < child r
c-programs/get-robust-list-thread	1	B_KVM_CHILDSYNC_reverie_blocked	get_robust_list thread: Resource temporarily unavailable  <
c-programs/ptrace-attach-eperm	1	B_KVM_CHILDSYNC_reverie_blocked	child readiness: Resource temporarily unavailable  < PTRACE_
c-programs/ptrace-seize-eperm	1	B_KVM_CHILDSYNC_reverie_blocked	child readiness: Resource temporarily unavailable  < PTRACE_
determinism-stress-c/pipe-chain	1	B_KVM_CHILDSYNC_reverie_blocked	write(seed): Broken pipe  < seed=ptrace-compat < stage=0 pay
determinism-stress-c/pipe-prefill	1	B_KVM_CHILDSYNC_reverie_blocked	 < fork-pipe bytes=21 child-exit=37 payload=KVM PIPE INHERIT
c-programs/clone	1	B_KVM_SYSCALL_GAP_reverie_blocked	Clone failed, reason: Operation not supported  < Child exite
c-programs/dbi-unsupported-syscall	1	B_KVM_SYSCALL_GAP_reverie_blocked	2026-08-01T02:07:03.789372Z ERROR detcore: [detcore, dtid 1]
c-programs/pidfd-waitid-child	1	B_KVM_SYSCALL_GAP_reverie_blocked	pidfd_open child failed: No such process  < pidfd-waitid-chi
c-programs/ppoll-readv	1	B_KVM_SYSCALL_GAP_reverie_blocked	ppoll(ready): ret=-1 revents=0  < ppoll-readv-ok ABCDEFGHIJK
c-programs/ppoll-simulation	1	B_KVM_SYSCALL_GAP_reverie_blocked	ready ppoll: Function not implemented  < ppoll-simulation-ok
c-programs/pselect6-simulation	1	B_KVM_SYSCALL_GAP_reverie_blocked	ready pselect: Function not implemented  < pselect6-simulati
c-programs/record-replay-fd-close	1	B_KVM_SYSCALL_GAP_reverie_blocked	memfd_create(displaced) failed: Function not implemented
c-programs/record-replay-file-state	1	B_KVM_SYSCALL_GAP_reverie_blocked	sendfile(unlinked file) failed: Function not implemented  <
c-programs/recvmsg-scm-rights-mmap	1	B_KVM_SYSCALL_GAP_reverie_blocked	sendmsg: Function not implemented  < recvmsg-scm-rights-mmap
c-programs/remap-file-pages-memfd-enosys	1	B_KVM_SYSCALL_GAP_reverie_blocked	memfd setup: Function not implemented  < memfd nonlinear map
c-programs/socket-timestamp-edge-cases	3	B_KVM_SYSCALL_GAP_reverie_blocked	truncated recvmsg: Function not implemented  < truncated=176
c-programs/socket-timestamp-timespec	2	B_KVM_SYSCALL_GAP_reverie_blocked	recvmsg: Function not implemented  < 1767225600.003674595
c-programs/socket-timestamp-timeval	2	B_KVM_SYSCALL_GAP_reverie_blocked	recvmsg: Function not implemented  < 1767225600.003776
c-programs/so-incoming-cpu-tcp4	1	B_KVM_SYSCALL_GAP_reverie_blocked	connect: Address family not supported by protocol  < tcp4-in
