task,task_status,classification,reason,related_open_prs,related_closed_prs,related_merged_prs,owner,title
a-pass-row-must-carry-its-profile-partial-profiles-read-as-green,IN_PROGRESS,LANDED,main-sha=dev-hermit:8c53eb5d1faa,,,,hermit-243,P1 `fake-green/partial-profile`: a validate PASS row does NOT state which PROFILE produced it — a 2-gate `portable-strict-compat-only` pass reads identically to a full-coverage green
accept_fail_closed_efault,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/reverie/pull/362; main-sha=reverie:9e7af7df8d55,,,https://github.com/rrnewton/reverie/pull/362,hermit-sabre,Accept fail-closed EFAULT in mutated private-stub regression
add-dont-break-demos-principle,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/dev-hermit/pull/25,https://github.com/rrnewton/dev-hermit/pull/25,,https://github.com/rrnewton/hermit/pull/1389,,"P2: add 'Don't break the demos' as a concise principle in a few key places (AGENTS.md + relevant skills) — 1 line each, no bloat"
add-long-running-multibackend-perf-tests,IN_PROGRESS,STRANDED,closed-unmerged-pr=hermit#1444@e4586cc5ffb380a17fe1434bccfc67e84df4ca68:closed-unmerged,,https://github.com/rrnewton/hermit/pull/1444,,,"P2: add more LONG-running multi-backend tests — only N=2 tests are >5s in ptrace AND run in another backend, too few for a steady-state perf ranking"
add-preemption-counts-to-run-summary,IN_PROGRESS,STRANDED,closed-unmerged-pr=hermit#1341@297401c0a503215459f90edb3244358f6328ee5c:closed-unmerged,,https://github.com/rrnewton/hermit/pull/1341,,,P1: hermit run INFO per-run summary must report #syscall-boundary preemptions + #branch(PMU) preemptions (if not already)
agent-to-agent-sendmessage-fails-fleetwide,IN_PROGRESS,LANDED,"main-sha=dev-hermit:b80c87a87f9d,dev-hermit:b80c87a87f9d",,,,hermit-251,P1 (INFRA): agent-to-agent `SendMessage` by name FAILS fleet-wide — it broke the fan-out model and forced the coordinator to become a manual relay all night
ancestry-verify-primitive-invalid-for-rebase-merge,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/dev-hermit/pull/31; tracked-artifact=ai_docs/e9patch-in-guest-convergence-hybridptrace-crux-design_20260802.md,,,https://github.com/rrnewton/dev-hermit/pull/31,hermit-238b,P0: the ancestry-verify primitive (is-ancestor <PR head> origin/main) ALWAYS reports FALSE for rebase-merged PRs — every landed-vs-unlanded audit built on it is suspect
audit-every-merge-gate-requirement-has-a-signer,IN_PROGRESS,UNVERIFIABLE,implemented-tag-without-implementation-reference,,,,hermit-ptw,"P1: AUDIT — for every merge-gate requirement, label and required check, verify an entity EXISTS that can actually grant it. A gate with no possible approver blocks PRs invisibly."
audit-fabricated-numbers-presented-as-data,IN_PROGRESS,LANDED,merged-main-pr=https://github.com/rrnewton/hermit/pull/1542; main-sha=dev-hermit:04c785fb3c8a,,,https://github.com/rrnewton/hermit/pull/1542,hermit-247,P1: SWEEP for hardcoded/fabricated numbers presented as if measured — 'guesses are lies'; every displayed number must be derived-with-basis or labeled unknown
backend-abstraction-lint-covers-half-the-backends,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/hermit/pull/1571,https://github.com/rrnewton/hermit/pull/1571,,,hermit-ptw,"P1: the backend-abstraction COMMANDMENT is enforced on 3 of 6 backends — lint hardcodes ptrace/dbi/kvm, misses liteinst/sabre/e9patch"
backend-prefix-match-and-cli-cleanup,IN_PROGRESS,STRANDED,closed-unmerged-pr=hermit#1444@e4586cc5ffb380a17fe1434bccfc67e84df4ca68:closed-unmerged,,https://github.com/rrnewton/hermit/pull/1444,,,P2: --backend unique-prefix matching (-b ptr → ptrace) + remove the run --backend backwards-compat clutter from --help + port run --backend X → --backend X run
backend-short-flag-b,IN_PROGRESS,STRANDED,closed-unmerged-pr=hermit#1444@e4586cc5ffb380a17fe1434bccfc67e84df4ca68:closed-unmerged,,https://github.com/rrnewton/hermit/pull/1444,,,P2: add -b as the short alias for --backend in hermit CLI
benchmark-writeup-and-skill,IN_PROGRESS,LANDED,tracked-artifact=ai_docs/parity-log-artifact-management_20260802.md,,,,hermit-238b,P1: upgrade gvisor-same-host benchmark to a proper scientific-experiment writeup + scrub FQDN hostnames + create a benchmarking skill
build-debug-episode-cli-and-migrate,IN_PROGRESS,IN-FLIGHT,open-pr=https://github.com/rrnewton/dev-hermit/pull/25,https://github.com/rrnewton/dev-hermit/pull/25,,,,P1: debug/ episode infra — CLI over machine-readable hypotheses/evidence/SUSPECTS; migrate demo5 investigation from experiments/; bootstrap suspect list from bisect-interval scheduling/time commits
cargo-publish-metadata-cleanup-0p2,IN_PROGRESS,LANDED,"merged-main-pr=https://github.com/rrnewton/hermit/pull/1219,https://github.com/rrnewton/reverie/pull/310,https://github.com/rrnewton/reverie/pull/316; main-sha=reverie:53c79dd27351",,,"https://github.com/rrnewton/hermit/pull/1219,https://github.com/rrnewton/reverie/pull/310,https://github.com/rrnewton/reverie/pull/316",hermit-247,"P2: cargo publish --dry-run metadata cleanup for 0.2 — add missing descriptions, bump versions to 0.2, add license/repository fields across hermit + reverie-core crates so dry-run gets closer to clean"
